Opposition,India,Pakistan,Srilanka
Afghanistan,83.33,100.00,75.00
Australia,40.00,32.17,34.40
Bermuda,100.00,100.00,100.00
Canada,100.00,100.00,100.00
England,55.67,37.64,50.00
Hong Kong,100.00,100.00,100.00
Ireland,100.00,78.57,100.00
Kenya,84.61,100.00,83.33
Netherlands,100.00,100.00,100.00
New Zealand,52.85,53.36,45.60
Scotland,100.00,100.00,100.00
South Africa,43.20,35.89,41.44
United Arab Emirates,100.00,100.00,100.00
West Indies,50.38,45.89,50.87
Zimbabwe,82.53,92.10,80.00




